time,Time,pH,T,DO,F,G,Q,L,A,P
66,465,6.667676836,38.41334544,0.360832288,0.020722153,598.3685594,48.30457011,99.19184596,9.504206228,49.59592298
67,466,6.667676836,38.41334544,0.360832288,0.020722153,598.4270161,48.30802439,99.17869207,9.50530006,49.58934603
68,467,6.667676836,38.41334544,0.360832288,0.020722153,598.4838724,48.31132657,99.1676718,9.506487877,49.5838359
69,468,6.667676836,38.41334544,0.360832288,0.020722153,598.5391207,48.31447588,99.1588124,9.507770854,49.5794062
70,469,6.667676836,38.41334544,0.360832288,0.020722153,598.5927536,48.31747157,99.15214109,9.509150165,49.57607055
71,470,6.667676836,38.41334544,0.360832288,0.020722153,598.6447639,48.32031285,99.14768511,9.510626984,49.57384256
72,471,6.667676836,38.41334544,0.360832288,0.020722153,598.6951441,48.32299896,99.14547168,9.512202486,49.57273584
73,472,6.667676836,38.41334544,0.360832288,0.020722153,598.7438867,48.32552914,99.14552804,9.513877844,49.57276402
74,473,6.667676836,38.41334544,0.360832288,0.020722153,598.7909844,48.32790261,99.14788141,9.515654234,49.5739407
75,474,6.667676836,38.41334544,0.360832288,0.020722153,598.8364298,48.33011861,99.15255903,9.517532829,49.57627951
76,475,6.667676836,38.41334544,0.360832288,0.020722153,598.8811473,48.33228042,99.15766684,9.51941895,49.57883342
77,476,6.667676836,38.41334544,0.360832288,0.020722153,598.9250126,48.33437424,99.16347311,9.521325797,49.58173656
78,477,6.667676836,38.41334544,0.360832288,0.020722153,598.9675506,48.33634704,99.1709695,9.52330266,49.58548475
79,478,6.667676836,38.41334544,0.360832288,0.020722153,599.0087769,48.33820066,99.18013556,9.525348334,49.59006778
80,479,6.667676836,38.41334544,0.360832288,0.020722153,599.0487074,48.33993689,99.19095087,9.527461616,49.59547543
81,480,6.667676836,38.41334544,0.360832288,0.020722153,599.0873577,48.34155756,99.20339499,9.529641303,49.60169749
82,481,6.667676836,38.41334544,0.360832288,0.020722153,599.1247435,48.34306448,99.2174475,9.531886191,49.60872375
83,482,6.667676836,38.41334544,0.360832288,0.020722153,599.1608806,48.34445946,99.23308797,9.534195076,49.61654398
84,483,6.667676836,38.41334544,0.360832288,0.020722153,599.1957846,48.34574431,99.25029596,9.536566756,49.62514798
85,484,6.667676836,38.41334544,0.360832288,0.020722153,599.2294713,48.34692086,99.26905105,9.539000026,49.63452552
86,485,6.667676836,38.41334544,0.360832288,0.020722153,599.2619565,48.3479909,99.2893328,9.541493683,49.6446664
87,486,6.667676836,38.41334544,0.360832288,0.020722153,599.2932557,48.34895626,99.3111208,9.544046524,49.6555604
88,487,6.667676836,38.41334544,0.360832288,0.020722153,599.3233848,48.34981875,99.3343946,9.546657345,49.6671973
89,488,6.667676836,38.41334544,0.360832288,0.020722153,599.352448,48.35058992,99.35895088,9.549315956,49.67947544
90,489,6.667676836,38.41334544,0.360832288,0.020722153,599.3808295,48.35131214,99.38400776,9.551983741,49.69200388
91,490,6.667676836,38.41334544,0.360832288,0.020722153,599.4084189,48.35197335,99.40980529,9.554672296,49.70490265
92,491,6.667676836,38.41334544,0.360832288,0.020722153,599.4352949,48.3525823,99.43619294,9.557374025,49.71809647
93,492,6.667676836,38.41334544,0.360832288,0.020722153,599.4615126,48.35314497,99.46306836,9.560083851,49.73153418
94,493,6.667676836,38.41334544,0.360832288,0.020722153,599.4870417,48.35365739,99.49050321,9.562805806,49.74525161
95,494,6.667676836,38.41334544,0.360832288,0.020722153,599.5119982,48.35413264,99.51827104,9.56552832,49.75913552
96,495,6.667676836,38.41334544,0.360832288,0.020722153,599.5364424,48.35457734,99.54625843,9.56824574,49.77312921
97,496,6.667676836,38.41334544,0.360832288,0.020722153,599.5604098,48.35499524,99.57440337,9.570955042,49.78720169
98,497,6.667676836,38.41334544,0.360832288,0.020722153,599.5838313,48.35537817,99.60285646,9.573664085,49.80142823
99,498,6.667676836,38.41334544,0.360832288,0.020722153,599.6068117,48.35573779,99.63141414,9.576362602,49.81570707
100,499,6.667676836,38.41334544,0.360832288,0.020722153,599.6293903,48.35607831,99.66000615,9.579047147,49.83000308
101,500,7.007446537,36.66743597,0.388920278,0.022594685,599.651603,48.35640355,99.68856914,9.581714629,49.84428457
102,501,7.007446537,36.66743597,0.388920278,0.022594685,599.776321,48.37107445,99.51322867,9.57139133,49.75661434
103,502,7.007446537,36.66743597,0.388920278,0.022594685,600.1430037,48.41945225,98.85755361,9.530586723,49.4287768
104,503,7.007446537,36.66743597,0.388920278,0.022594685,600.5344991,48.47106175,98.15184628,9.486835522,49.07592314
105,504,7.007446537,36.66743597,0.388920278,0.022594685,600.9120055,48.52048641,97.47301098,9.445031727,48.73650549
106,505,7.007446537,36.66743597,0.388920278,0.022594685,601.2835863,48.56887773,96.80508677,9.404134972,48.40254338
107,506,7.007446537,36.66743597,0.388920278,0.022594685,601.6559316,48.61718709,96.13483223,9.363285791,48.06741611
108,507,7.007446537,36.66743597,0.388920278,0.022594685,602.0276407,48.6652283,95.46503662,9.322652772,47.73251831
109,508,7.007446537,36.66743597,0.388920278,0.022594685,602.3970093,48.71278456,94.79910347,9.282432461,47.39955174
110,509,7.007446537,36.66743597,0.388920278,0.022594685,602.7650471,48.75998475,94.13501667,9.242508035,47.06750834
111,510,7.007446537,36.66743597,0.388920278,0.022594685,603.1317543,48.80682888,93.47277621,9.202879492,46.73638811
112,511,7.007446537,36.66743597,0.388920278,0.022594685,603.4961509,48.85322186,92.81437646,9.163633877,46.40718823
113,512,7.007446537,36.66743597,0.388920278,0.022594685,603.8586299,48.89920184,92.15901747,9.124736276,46.07950874
114,513,7.007446537,36.66743597,0.388920278,0.022594685,604.2192633,48.9447758,91.50655263,9.086180291,45.75327631
115,514,7.007446537,36.66743597,0.388920278,0.022594685,604.5776884,48.98992368,90.85774118,9.047984906,45.42887059
